Uur,Totaal [kWh],Normaal[kWh],Laag [kWh],P max [kW],p contract [kW]
12-06-2018 17:15 tot 17:30,49.28,49.28,0,,
12-06-2018 17:30 tot 17:45,43.79,43.79,0,,
12-06-2018 17:45 tot 18:00,47.84,47.84,0,,
12-06-2018 18:00 tot 18:15,52.56,52.56,0,226,684
12-06-2018 18:15 tot 18:30,55.26,55.26,0,,
12-06-2018 18:30 tot 18:45,56.57,56.57,0,,
12-06-2018 18:45 tot 19:00,44.69,44.69,0,,
12-06-2018 19:00 tot 19:15,39.29,39.29,0,157,684
12-06-2018 19:15 tot 19:30,31.55,31.55,0,,
12-06-2018 19:30 tot 19:45,17.51,17.51,0,,
12-06-2018 19:45 tot 20:00,14.99,14.99,0,,
12-06-2018 20:00 tot 20:15,23.4,23.4,0,94,684
12-06-2018 20:15 tot 20:30,13.46,13.46,0,,
12-06-2018 20:30 tot 20:45,10.58,10.58,0,,
12-06-2018 20:45 tot 21:00,5.13,5.13,0,,
12-06-2018 21:00 tot 21:15,2.66,2.66,0,11,684
12-06-2018 21:15 tot 21:30,2.79,2.79,0,,
12-06-2018 21:30 tot 21:45,0.86,0.86,0,,
12-06-2018 21:45 tot 22:00,0.14,0.14,0,,
12-06-2018 22:00 tot 22:15,0,0,0,0,684
12-06-2018 22:15 tot 22:30,0,0,0,,
12-06-2018 22:30 tot 22:45,0,0,0,,
12-06-2018 22:45 tot 23:00,0,0,0,,
12-06-2018 23:00 tot 23:15,0,0,0,0,684
12-06-2018 23:15 tot 23:30,0,0,0,,
12-06-2018 23:30 tot 23:45,0,0,0,,
12-06-2018 23:45 tot 00:00,0,0,0,,
